Time (ms),Trajectory Position 1 (mm),Measured Position 1 (mm),Trajectory Position 2 (mm),Measured Position 2 (mm),Trajectory Position 3 (mm),Measured Position 3 (mm)
5420.0,116.87770312499994,116.87819921874994,121.85600390624994,121.85005078124995,121.85550781249994,121.86592578124994
5430.0,116.92780859374994,116.92582421874994,121.90610937499993,121.90114843749994,121.80540234374993,121.81830078124993
5440.0,116.97791406249993,116.97642578124993,121.95621484374993,121.95174999999995,121.75529687499993,121.76422656249994
5450.0,117.02801953124994,117.02752343749994,122.00632031249992,121.99937499999994,121.70519140624994,121.71660156249995
5460.0,117.07812499999993,117.07514843749995,122.05642578124994,122.04997656249994,121.65508593749993,121.66599999999994
5470.0,117.12773437499995,117.12574999999994,122.10603515624993,122.10107421874994,121.60547656249994,121.61539843749993
5480.0,117.17783984374994,117.17337499999994,122.15614062499994,122.15167578124993,121.55537109374994,121.56777343749994
5490.0,117.22794531249994,117.22744921874994,122.20624609374994,122.20277343749994,121.50526562499994,121.51369921874993
5500.0,117.27805078124993,117.27507421874994,122.25635156249993,122.25039843749994,121.45516015624993,121.46607421874994
5510.0,117.32766015624995,117.32567578124994,122.30596093749993,122.30099999999993,121.40555078124994,121.41497656249994
5520.0,117.37776562499994,117.37677343749995,122.35606640624994,122.35160156249994,121.35544531249994,121.36437499999994
5530.0,117.42787109374994,117.42439843749993,122.40617187499994,122.40269921874994,121.30533984374995,121.31674999999993
5540.0,117.47797656249993,117.47797656249993,122.45627734374993,122.45032421874994,121.25523437499994,121.26614843749994
5550.0,117.52808203124994,117.52560156249994,122.50638281249994,122.49794921874992,121.20512890624993,121.21852343749994
5560.0,117.57769140624994,117.57669921874994,122.55599218749994,122.55202343749994,121.15551953124994,121.16444921874994
5570.0,117.62779687499994,117.62432421874993,122.60609765624994,122.59964843749994,121.10541406249993,121.11682421874993
5580.0,117.67790234374993,117.67492578124994,122.65620312499993,122.65024999999993,121.05530859374994,121.06572656249993
5590.0,117.72800781249994,117.72602343749993,122.70630859374994,122.70085156249993,121.00520312499994,121.01512499999993
5600.0,117.77811328124994,117.77364843749993,122.75641406249993,122.74847656249993,120.95509765624995,120.96749999999993
5610.0,117.82772265624993,117.82722656249994,122.80602343749995,122.80255078124993,120.90548828124993,120.91342578124993
5620.0,117.87782812499995,117.87485156249994,122.85612890624994,122.85017578124993,120.85538281249994,120.86580078124993
5630.0,117.92793359374994,117.92594921874993,122.90623437499994,122.90127343749992,120.80527734374994,120.81519921874994
